elapsed time sensors,current,voltage,acc x (IMU),acc y (IMU),W (IMU),vel encoder,safety_value,throttle,steering,vicon time,vicon x,vicon y,vicon yaw,velocity x,velocity y
2.4260671138763428,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.6990924,-3.7596400447038176e-14,-2.232699686737741e-16,-2.362645171151513e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.4356911182403564,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.7089663,-3.775517186825459e-14,-2.2421284857237527e-16,-2.3726227362160794e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.4564590454101562,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.7198427,-3.791394328947101e-14,-2.2515572847097647e-16,-2.382600301280646e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.4564590454101562,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.7290545,-3.807271471068743e-14,-2.2609860836957767e-16,-2.3925778663452125e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.476640224456787,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.7400024,-3.8231486131903844e-14,-2.2704148826817886e-16,-2.402555431409779e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.476640224456787,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.749961,-3.839025755312026e-14,-2.2798436816678006e-16,-2.4125329964743456e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.4955973625183105,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.7590187,-3.854902897433668e-14,-2.2892724806538125e-16,-2.422510561538912e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.5054969787597656,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.768949,-3.8707800395553095e-14,-2.2987012796398245e-16,-2.4324881266034787e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.516068935394287,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.7795262,-3.886657181676951e-14,-2.3081300786258364e-16,-2.4424656916680452e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.526198387145996,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.7896192,-3.902534323798593e-14,-2.3175588776118484e-16,-2.4524432567326118e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.526198387145996,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.7989674,-3.9184114659202346e-14,-2.3269876765978603e-16,-2.4624208217971783e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.535531997680664,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.8089447,-3.934288608041876e-14,-2.3364164755838723e-16,-2.472398386861745e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.5455002784729004,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.8188643,-3.950165750163518e-14,-2.3458452745698843e-16,-2.4823759519263114e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.5664725303649902,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.8298402,-3.9660428922851597e-14,-2.355274073555896e-16,-2.492353516990878e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.5763678550720215,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.8397589,-3.9819200344068013e-14,-2.364702872541908e-16,-2.5023310820554445e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.5763678550720215,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.8498645,-3.997797176528443e-14,-2.37413167152792e-16,-2.512308647120011e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.596614360809326,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.859967,-4.013674318650085e-14,-2.383560470513932e-16,-2.5222862121845772e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.606884002685547,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.8702548,-4.0295514607717264e-14,-2.3929892694999435e-16,-2.532263777249144e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.6164722442626953,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.8798432,-4.045428602893368e-14,-2.402418068485955e-16,-2.5422413423137107e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.626302719116211,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.8896806,-4.06130574501501e-14,-2.4118468674719665e-16,-2.552218907378277e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.6354897022247314,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.898933,-4.0771828871366515e-14,-2.421275666457978e-16,-2.562196472442844e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.645493268966675,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.9089422,-4.093060029258293e-14,-2.4307044654439894e-16,-2.5721740375074104e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.6556122303009033,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.9190488,-4.108937171379935e-14,-2.440133264430001e-16,-2.5821516025719765e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.6556122303009033,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.929795,-4.1248143135015766e-14,-2.4495620634160123e-16,-2.5921291676365435e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.676625967025757,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.9399757,-4.140691455623218e-14,-2.458990862402024e-16,-2.60210673270111e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.676625967025757,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.94994,-4.15656859774486e-14,-2.468419661388035e-16,-2.6120842977656766e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.6865668296813965,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.959599,-4.172445739866502e-14,-2.4778484603740467e-16,-2.622061862830243e-15,-1.5877141317172452e-14,-9.428798868431468e-17
