elapsed time sensors,current,voltage,acc x (IMU),acc y (IMU),W (IMU),vel encoder,safety_value,throttle,steering
102.13821411132812,0.0,0.0,0.0,0.0,3.922776937484741,2.1615726947784424,1.0,0.30000001192092896,1.0
102.1480484008789,0.0,0.0,0.0,0.0,3.9232027530670166,2.1618056297302246,1.0,0.30000001192092896,1.0
102.1583023071289,0.0,0.0,0.0,0.0,3.9236254692077637,2.162036895751953,1.0,0.30000001192092896,1.0
102.1680908203125,0.0,0.0,0.0,0.0,3.9240450859069824,2.162266492843628,1.0,0.30000001192092896,1.0
102.17827606201172,0.0,0.0,0.0,0.0,3.924462080001831,2.162494659423828,1.0,0.30000001192092896,1.0
102.18804931640625,0.0,0.0,0.0,0.0,3.9248757362365723,2.1627209186553955,1.0,0.30000001192092896,1.0
102.19810485839844,0.0,0.0,0.0,0.0,3.9252867698669434,2.1629457473754883,1.0,0.30000001192092896,1.0
102.20824432373047,0.0,0.0,0.0,0.0,3.925694704055786,2.1631689071655273,1.0,0.30000001192092896,1.0
102.21817779541016,0.0,0.0,0.0,0.0,3.926100015640259,2.163390636444092,1.0,0.30000001192092896,1.0
102.22828674316406,0.0,0.0,0.0,0.0,3.926502227783203,2.1636106967926025,1.0,0.30000001192092896,1.0
102.23824310302734,0.0,0.0,0.0,0.0,3.9269015789031982,2.1638293266296387,1.0,0.30000001192092896,1.0
102.24811553955078,0.0,0.0,0.0,0.0,3.9272983074188232,2.164046287536621,1.0,0.30000001192092896,1.0
102.25828552246094,0.0,0.0,0.0,0.0,3.92769193649292,2.16426157951355,1.0,0.30000001192092896,1.0
102.26815032958984,0.0,0.0,0.0,0.0,3.9280829429626465,2.164475440979004,1.0,0.30000001192092896,1.0
102.2781753540039,0.0,0.0,0.0,0.0,3.928471326828003,2.1646878719329834,1.0,0.30000001192092896,1.0
102.2880859375,0.0,0.0,0.0,0.0,3.92885684967041,2.1648988723754883,1.0,0.30000001192092896,1.0
102.29833984375,0.0,0.0,0.0,0.0,3.929239511489868,2.1651082038879395,1.0,0.30000001192092896,1.0
102.30825805664062,0.0,0.0,0.0,0.0,3.929619550704956,2.165316104888916,1.0,0.30000001192092896,1.0
102.31820678710938,0.0,0.0,0.0,0.0,3.929996967315674,2.165522575378418,1.0,0.30000001192092896,1.0
102.32823181152344,0.0,0.0,0.0,0.0,3.9303717613220215,2.1657276153564453,1.0,0.30000001192092896,1.0
102.33824157714844,0.0,0.0,0.0,0.0,3.93074369430542,2.165931224822998,1.0,0.30000001192092896,1.0
102.34817504882812,0.0,0.0,0.0,0.0,3.9311132431030273,2.166133165359497,1.0,0.30000001192092896,1.0
102.35874938964844,0.0,0.0,0.0,0.0,3.9314799308776855,2.1663339138031006,1.0,0.30000001192092896,1.0
102.36817932128906,0.0,0.0,0.0,0.0,3.9318442344665527,2.1665332317352295,1.0,0.30000001192092896,1.0
102.37818908691406,0.0,0.0,0.0,0.0,3.93220591545105,2.166731119155884,1.0,0.30000001192092896,1.0
102.38809204101562,0.0,0.0,0.0,0.0,3.9325649738311768,2.1669275760650635,1.0,0.30000001192092896,1.0
102.39813995361328,0.0,0.0,0.0,0.0,3.9329214096069336,2.1671226024627686,1.0,0.30000001192092896,1.0
102.40828704833984,0.0,0.0,0.0,0.0,3.9332754611968994,2.167316198348999,1.0,0.30000001192092896,1.0
102.41841125488281,0.0,0.0,0.0,0.0,3.933627128601074,2.167508602142334,1.0,0.30000001192092896,1.0
102.4281997680664,0.0,0.0,0.0,0.0,3.933976173400879,2.1676995754241943,1.0,0.30000001192092896,1.0
102.4382095336914,0.0,0.0,0.0,0.0,3.9343225955963135,2.16788911819458,1.0,0.30000001192092896,1.0
102.44845581054688,0.0,0.0,0.0,0.0,3.934666872024536,2.1680774688720703,1.0,0.30000001192092896,1.0
102.45830535888672,0.0,0.0,0.0,0.0,3.9350085258483887,2.168264389038086,1.0,0.30000001192092896,1.0
102.4681167602539,0.0,0.0,0.0,0.0,3.93534779548645,2.168449878692627,1.0,0.30000001192092896,1.0
102.47827911376953,0.0,0.0,0.0,0.0,3.9356846809387207,2.1686341762542725,1.0,0.30000001192092896,1.0
102.4881820678711,0.0,0.0,0.0,0.0,3.9360191822052,2.1688172817230225,1.0,0.30000001192092896,1.0
102.49842834472656,0.0,0.0,0.0,0.0,3.9363512992858887,2.168998956680298,1.0,0.30000001192092896,1.0
102.50816345214844,0.0,0.0,0.0,0.0,3.936681032180786,2.1691792011260986,1.0,0.30000001192092896,1.0
102.51822662353516,0.0,0.0,0.0,0.0,3.9370083808898926,2.169358491897583,1.0,0.30000001192092896,1.0
102.52815246582031,0.0,0.0,0.0,0.0,3.937333583831787,2.1695363521575928,1.0,0.30000001192092896,1.0
102.53842163085938,0.0,0.0,0.0,0.0,3.9376564025878906,2.169713020324707,1.0,0.30000001192092896,1.0
102.54827880859375,0.0,0.0,0.0,0.0,3.937976837158203,2.1698882579803467,1.0,0.30000001192092896,1.0
102.55826568603516,0.0,0.0,0.0,0.0,3.9382951259613037,2.170062303543091,1.0,0.30000001192092896,1.0
102.56827545166016,0.0,0.0,0.0,0.0,3.9386112689971924,2.1702353954315186,1.0,0.30000001192092896,1.0
102.57833099365234,0.0,0.0,0.0,0.0,3.93892502784729,2.1704070568084717,1.0,0.30000001192092896,1.0
102.58814239501953,0.0,0.0,0.0,0.0,3.939236640930176,2.1705775260925293,1.0,0.30000001192092896,1.0
102.59834289550781,0.0,0.0,0.0,0.0,3.9395461082458496,2.1707465648651123,1.0,0.30000001192092896,1.0
102.6080551147461,0.0,0.0,0.0,0.0,3.9398531913757324,2.170914649963379,1.0,0.30000001192092896,1.0
102.6177978515625,0.0,0.0,0.0,0.0,3.9401581287384033,2.17108154296875,1.0,0.30000001192092896,1.0
102.62812805175781,0.0,0.0,0.0,0.0,3.9404611587524414,2.1712472438812256,1.0,0.30000001192092896,1.0
102.63838195800781,0.0,0.0,0.0,0.0,3.9407618045806885,2.1714117527008057,1.0,0.30000001192092896,1.0
102.64810180664062,0.0,0.0,0.0,0.0,3.9410603046417236,2.1715750694274902,1.0,0.30000001192092896,1.0
102.65860748291016,0.0,0.0,0.0,0.0,3.941356897354126,2.1717374324798584,1.0,0.30000001192092896,1.0
102.66816711425781,0.0,0.0,0.0,0.0,3.9416513442993164,2.171898365020752,1.0,0.30000001192092896,1.0
102.67828369140625,0.0,0.0,0.0,0.0,3.941943645477295,2.172058343887329,1.0,0.30000001192092896,1.0
102.688232421875,0.0,0.0,0.0,0.0,3.9422338008880615,2.1722171306610107,1.0,0.30000001192092896,1.0
102.69818115234375,0.0,0.0,0.0,0.0,3.9425220489501953,2.172374725341797,1.0,0.30000001192092896,1.0
102.70874786376953,0.0,0.0,0.0,0.0,3.942808151245117,2.1725313663482666,1.0,0.30000001192092896,1.0
